b'Date',b'Daily Rainfall Total (mm)',b'Highest \xc2\xa030-min Rainfall (mm)',b'Highest \xc2\xa060-min Rainfall (mm)',b'Highest 120-min Rainfall (mm)',b'Mean Temperature (\xc2\xb0C)',b'Maximum Temperature (\xc2\xb0C)',b'Minimum Temperature (\xc2\xb0C)',b'Mean Wind Speed (km/h)',b'Max Wind Speed (km/h)'
b'2 Nov',b'0.4',b'0.4',b'0.4',b'0.4',b'27.6',b'32.1',b'25.2',b'6.4',b'27.8'
b'3 Nov',b'0.0',b'0.0',b'0.0',b'0.0',b'27.5',b'31.4',b'25.1',b'7.1',b'27.8'
b'4 Nov',b'0.8',b'0.8',b'0.8',b'0.8',b'28.9',b'32.8',b'24.3',b'9.1',b'29.6'
b'5 Nov',b'40.4',b'23.4',b'27.0',b'29.6',b'25.4',b'27.9',b'22.4',b'6.0',b'51.9'
b'6 Nov',b'0.6',b'0.2',b'0.2',b'0.4',b'26.9',b'31.1',b'25.0',b'7.7',b'40.7'
b'7 Nov',b'53.0',b'38.8',b'52.0',b'52.8',b'26.4',b'31.8',b'23.4',b'7.2',b'22.2'
b'8 Nov',b'34.2',b'29.2',b'32.6',b'32.6',b'26.1',b'31.9',b'23.1',b'5.9',b'40.7'
b'9 Nov',b'0.8',b'0.6',b'0.8',b'0.8',b'26.3',b'28.7',b'25.0',b'6.6',b'25.9'
b'10 Nov',b'19.8',b'3.4',b'4.8',b'9.4',b'26.6',b'30.6',b'24.4',b'6.6',b'22.2'
b'11 Nov',b'0.4',b'0.4',b'0.4',b'0.4',b'27.2',b'31.6',b'25.1',b'5.8',b'27.8'
b'12 Nov',b'21.2',b'6.6',b'9.2',b'13.8',b'26.3',b'31.9',b'24.4',b'7.0',b'24.1'
b'13 Nov',b'3.4',b'3.4',b'3.4',b'3.4',b'27.0',b'30.4',b'24.5',b'7.1',b'27.8'
b'14 Nov',b'13.2',b'5.6',b'7.0',b'11.0',b'27.3',b'31.5',b'23.6',b'5.9',b'29.6'
b'15 Nov',b'7.0',b'3.0',b'4.4',b'6.8',b'28.0',b'32.4',b'24.0',b'7.9',b'40.7'
b'16 Nov',b'16.4',b'10.2',b'13.4',b'14.2',b'27.2',b'33.3',b'24.3',b'7.4',b'31.5'
b'17 Nov',b'0.0',b'0.0',b'0.0',b'0.0',b'27.8',b'31.8',b'24.9',b'5.6',b'20.4'
b'18 Nov',b'0.0',b'0.0',b'0.0',b'0.0',b'28.5',b'33.1',b'25.9',b'6.3',b'31.5'
b'19 Nov',b'6.0',b'2.2',b'3.4',b'4.4',b'26.1',b'27.5',b'23.5',b'5.7',b'38.9'
b'20 Nov',b'0.2',b'0.2',b'0.2',b'0.2',b'28.1',b'31.7',b'24.9',b'8.6',b'31.5'
b'21 Nov',b'11.0',b'11.0',b'11.0',b'11.0',b'28.6',b'33.1',b'23.2',b'8.9',b'40.7'
b'22 Nov',b'2.2',b'2.2',b'2.2',b'2.2',b'30.0',b'33.9',b'26.0',b'8.2',b'37.0'
b'23 Nov',b'3.6',b'2.8',b'3.0',b'3.4',b'27.6',b'30.3',b'24.1',b'6.4',b'46.3'
b'24 Nov',b'13.4',b'13.4',b'13.4',b'13.4',b'28.7',b'33.9',b'23.7',b'6.5',b'38.9'
b'25 Nov',b'5.2',b'14.6',b'16.6',b'17.4',b'27.8',b'31.3',b'24.5',b'6.3',b'27.8'
b'26 Nov',b'1.6',b'1.6',b'1.6',b'1.6',b'27.5',b'31.5',b'25.6',b'7.2',b'24.1'
b'27 Nov',b'1.4',b'0.6',b'1.0',b'1.4',b'26.4',b'28.8',b'24.6',b'5.7',b'42.6'
b'28 Nov',b'2.2',b'2.2',b'2.2',b'2.2',b'27.2',b'32.4',b'24.9',b'8.4',b'31.5'
b'29 Nov',b'0.0',b'0.0',b'0.0',b'0.0',b'27.6',b'32.0',b'25.1',b'7.4',b'35.2'
b'30 Nov',b'52.8',b'33.0',b'44.6',b'50.8',b'27.2',b'32.9',b'22.8',b'7.8',b'35.2'
