Date,Daily Rainfall Total (mm),Highest  30-min Rainfall (mm),Highest  60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,month
2 Jan,0,0,0,0,27.4,30.6,24.8,6.8,30.6,2020,January
3 Jan,0,0,0,0,27.6,31.6,24.8,7.2,31.7,2020,January
4 Jan,0,0,0,0,27.3,31.2,25.4,9,33.1,2020,January
5 Jan,0,0,0,0,27.4,32.2,24.8,8.3,27.7,2020,January
6 Jan,7,2.8,2.8,2.8,26.1,32,23.9,6.8,32.8,2020,January
7 Jan,4.2,1.4,1.8,3.2,25.9,29.6,23.6,7.6,28.8,2020,January
8 Jan,0.2,0.2,0.2,0.2,27.4,31.7,24.6,8.3,29.9,2020,January
9 Jan,0,0,0,0,27.6,31.6,25.6,7.9,30.6,2020,January
10 Jan,5.2,5,5.2,5.2,26.7,30.6,23.5,5,33.5,2020,January
11 Jan,0,0,0,0,27.1,30.7,24.5,5,20.9,2020,January
12 Jan,0,0,0,0,27.5,32.7,24.5,5.8,22.3,2020,January
13 Jan,0,0,0,0,27.1,32.3,24,6.8,24.8,2020,January
14 Jan,0,0,0,0,27.1,31.7,23.9,6.8,27,2020,January
15 Jan,0,0,0,0,27.6,32,25,7.2,25.2,2020,January
16 Jan,0,0,0,0,27.8,32,25.8,6.8,24.1,2020,January
17 Jan,0,0,0,0,27.8,32.7,24.4,7.2,27,2020,January
18 Jan,0,0,0,0,27.8,32.2,25,6.8,26.6,2020,January
19 Jan,0,0,0,0,28.1,32.3,25,7.2,26.3,2020,January
20 Jan,0,0,0,0,28.1,32.9,26.2,7.9,25.9,2020,January
21 Jan,54,19.4,21.2,33.2,26.1,27.9,24,6.5,26.3,2020,January
22 Jan,0,0,0,0,27.9,31.9,25.3,8.3,28.8,2020,January
23 Jan,0,0,0,0,27.9,31.7,24.9,7.2,26.3,2020,January
24 Jan,0,0,0,0,27.5,31.5,24.4,7.6,29.5,2020,January
25 Jan,0,0,0,0,27.2,32.2,23.8,6.1,22.7,2020,January
26 Jan,0,0,0,0,27.5,32.4,24.2,5.8,22.3,2020,January
27 Jan,48.2,24,38.4,47.2,27,31.3,24.9,4.7,17.6,2020,January
28 Jan,0,0,0,0,27.9,33.1,24.5,4.7,21.6,2020,January
29 Jan,14.6,10.2,10.8,12,26.4,30.6,23.5,4.7,25.9,2020,January
30 Jan,0.2,0.2,0.2,0.2,26.7,30.7,23.2,5.4,22.7,2020,January
31 Jan,0,0,0,0,27.8,31.5,25.1,7.2,31,2020,January
